time,cpu_avg,cpu_peak
2026-03-07T10:29:38.41572877Z,4.672,6.155
2026-03-07T10:30:20.337160829Z,5.383,15.537
2026-03-07T10:31:04.597997023Z,9.495,17.380
2026-03-07T10:31:57.97698452Z,55.940,96.858
2026-03-07T10:32:46.522582077Z,43.168,77.692
