time,cpu_avg,cpu_peak
2026-03-06T09:02:28.255352Z,44.984,49.445
2026-03-06T09:02:29.2421102Z,48.208,53.090
2026-03-06T09:02:30.2232635Z,48.357,57.110
2026-03-06T09:02:31.208078Z,46.162,50.795
2026-03-06T09:02:32.1890905Z,47.615,58.845
