time,cpu_avg,cpu_peak
2026-03-07T08:58:49.054003895Z,5.160,7.189
2026-03-07T09:01:43.645548082Z,5.355,7.219
2026-03-07T09:04:34.587497489Z,5.174,6.961
2026-03-07T09:07:27.758815556Z,5.176,6.566
2026-03-07T09:10:20.837009402Z,5.199,7.437
