time,cpu_avg,cpu_peak
2026-03-07T08:59:45.203569365Z,5.804,7.813
2026-03-07T09:02:38.779154813Z,5.718,7.444
2026-03-07T09:05:29.950357192Z,5.792,7.537
2026-03-07T09:08:21.07653548Z,5.812,7.995
2026-03-07T09:11:16.38940049Z,5.656,7.606
