time,cpu_avg,cpu_peak
2026-03-07T04:24:19.543998709Z,9.229,11.780
2026-03-07T04:25:45.122321608Z,9.205,12.137
2026-03-07T04:27:09.224868562Z,5.737,7.621
2026-03-07T04:28:35.082889369Z,5.517,7.208
2026-03-07T04:29:58.105592883Z,5.549,7.170
